loca_key_foo;Value is Bar
text_quest01_slot01_titel;Convaincre Legrand
text_quest01_slot01_content;Je dois convaincre Legrand que je peux être utile. Aider le professeur pour ouvrir sa porte serait un bon début...
text_quest01_slot02_content;Retrouver le sac à main de la Baronne devrait me faire gagner des points avec Legrand.
text_quest02_slot01_titel;Ouvrir la porte du professeur
text_quest02_slot01_content;La porte du compartiment du professeur Lucien est verrouillé - de l'intérieur. Je dois trouver un moyen d'ouvrir la serrure.
text_quest02_slot02_content;La boîte à outils peut être utile pour ouvrir la porte du professeur Lucien. J'ai juste besoin de sa clé.
hint_quest02_slot02;Les employés doivent avoir accès à la clé.
text_quest02_slot03_content;Je dois trouver un moyen d'ouvrir le tiroir verrouillé derrière le bar. Peut-être qu'il y a une clé pour les compartiments à l'intérieur.
hint_quest02_slot03;Peut-être que les autres passagers ont une idée sur la manière d'ouvrir le tiroir.
text_quest03_slot01_titel;Analyser les empreintes
hint_quest03_slot01;Je peux peut-être analyser les empreintes sur la fenêtre de la cabine de l'archéologue !
text_quest04_slot01_titel;Trouver le sac de la baronne
text_quest04_slot01_content;La baronne m'a chargé de trouver son sac à main. C'est pas le crime du siècle, si on peut parler de crime. Mais c'est mon travail en tant que policier.
hint_quest04_slot01;Je dois demander aux autres passagers s'ils savent où le sac pourrait être.
text_quest04_slot02_content;L'accompagnatrice de Lady Westmacott a déclarée que son fils Matt pourra peut-être m'aider. Mais où est ce petit bonhomme ?
text_quest04_slot03_content;Matt est en colère parce que j'ai pris son pistolet. S'il voulait bien me parler, je pourrais lui poser des questions sur le sac de la baronne.
hint_quest04_slot03;Je ne peux pas lui rendre son pistolet, mais peut-être qu'il y a une autre façon de lui remonter le moral.
text_quest04_slot04_content;Matt a vu le violoniste ramasser quelque chose sur le quai...
text_quest04_slot05_content;Le violoniste affirme qu'il ne sait rien sur le sac. Si seulement je pouvais jeter un oeil à l'intérieur de son étui à violon...
hint_quest04_slot05;Je peux peut-être le distraire, de sorte qu'il laisse son étui à violon sans surveillance.
text_quest05_slot01_titel;Découpler le wagon de marchandises
text_quest05_slot01_content;Je dois découpler le wagon de marchandises avant que la fumée de ce tunnel ne nous étouffe.
text_quest05_slot02_content;Je ne peux pas me pencher sur le mécanisme de couplage dans l'obscurité. J'ai besoin de plus de lumière !
text_quest05_slot03_content;Les allumettes ne marcheront pas - J'ai besoin d'une meilleure source de lumière.
hint_quest05_slot03;Je devrais me faire une torche avec quelque chose.
text_quest05_slot04_content;La torche ne brûle pas de manière assez lumineuse et elle s'éteint aux moindres mouvements. J'ai besoin d'une plus grosse flamme.
hint_quest05_slot04;Il n'y aurait pas de la cire, de l'huile ou quoi que ce soit du même genre dans le coin ?
text_quest06_slot01_titel;Parler à Matt
text_quest06_slot01_content;J'ai trouvé Matt, mais il est terrifié. Je dois le réconforter.
hint_quest06_slot01;Si Matt a l'impression qu'il peut se défendre, il devrait se calmer.
text_quest06_slot02_titel;Découpler la locomotive
text_quest06_slot02_content;La locomotive ne s'arrêtera pas toute seule et je ne peux pas entrer dans la cabine à cause de l'incendie.
text_quest06_slot03_content;La porte est trop chaude pour être touchée avec mes mains nues. J'ai besoin de trouver quelque chose pour me protéger de la chaleur.
text_quest06_slot04_content;La fumée et les cendres sont importante. Je dois protéger mon visage.
text_quest07_slot01_titel;Monter à bord
text_quest07_slot01_content;Legrand ne veut pas me laisser monter à bord. Je dois trouver un moyen de venir.
hint_quest07_slot01;Je dois jeter un bon coup d'oeil autour de la jetée.
text_quest07_slot02_content;La malle suspecte que j'ai remarqué alors qu'ils étaient en train d'être chargé sur le navire doit être dans la soute quelque part. Est-ce comme ça que le Corbeau est monté à bord ?
text_quest08_slot01_titel;Se libérer
text_quest08_slot01_content;Qui m'a assommé et m'a ligoté ? Et plus important encore : comment puis-je me libérer ?
hint_quest08_slot01;Je suis peut-être ligoté pour le moment, mais cela ne veut pas dire que je ne peux pas atteindre les objets à proximité...
text_quest08_slot02_content;Quelqu'un semble avoir tiré sur une caisse. Je pense que la balle est toujours coincé dans le bois, mais je ne peux pas la retirer avec mes doigts.
text_quest08_slot03_content;Je ne peux pas ouvrir la porte à mains nues. J'ai besoin d'un outil quelconque.
text_quest08_slot04_content;Le navire est partit alors que j'étais inconscient - Je suis officiellement un passager maintenant...
text_quest08_slot05_titel;Chasse du Corbeau
text_quest08_slot05_content;Une silhouette vêtu de noir a été aperçu sur le toit. Pourrait-elle être le Corbeau ?
hint_quest08_slot05;Je devrais jeter un coup d'oeil à bâbord.

text_quest09a_slot01_titel;Qui est le meurtrier ?
text_quest09a_slot01_content;Toujours aucun suspect pour l'assassinat de la baronne. Je vais voir si je peux obtenir des informations auprès des autres passagers.
text_quest09a_slot02_content;Je suis à la recherche d'indices qui pourraient nous mener au tueur.
hint_quest09a_slot02;Peut-être que le coup de feu que j'ai entendu dans la soute est lié à l'assassinat.
text_quest09a_slot03_content;Legrand m'a donné la permission de fouiller la cabine de la baronne.
hint_quest09a_slot03;Je dois fouiller plus minutieusement la cabine pour trouver des indices.
text_quest09a_slot04_content;Je pense qu'il y a plus que des plumes coincées dans le vase, mais ma main est trop grande.

text_quest09b_slot05_titel;Examiner la tache de sang
text_quest09b_slot05_content;La tache de sang sur le matelas semble étrange.
hint_quest09b_slot05;Si je prends un échantillon de sang, je peux l'examiner plus en détail.
text_quest09b_slot08_content;Entrer dans l'infirmerie

text_quest09c_slot06_titel;Parler au passager clandestin
text_quest09c_slot06_content;L'Officier Oliver ne veut pas me laisser parler au passager clandestin dans la soute. Je dois le distraire.
hint01_quest09c_slot06;Peut-être qu'il s'en ira s'il doit faire face à des besoins naturels...
hint02_quest09c_slot06;Matt a une plus une tête de chenapan que moi.

text_quest09_slot07_content;Je pourrais examiner les preuves moi-même dans la cabine de Legrand.
hint01_quest09_slot07;Les balles de la soute et de la cabine de la baronne proviennent de la même arme ?
hint02_quest09_slot07;Pourquoi le sang sur le lit de la baronne à l'air si étrange ?

text_quest10_slot01_titel;Chercher des indices
text_quest10_slot01_content;Peut-être que je trouverai plus d'indices dans l'infirmerie.
text_quest10_slot02_content;Le Docteur Gebhardt m'a attaché et veut me tuer. Je dois agir vite.
hint_quest10_slot02;Je dois pouvoir gagner du temps...
text_quest11_slot01_titel;Jeter un coup d'oeil
text_quest11_slot01_content;Je devrais jeter un coup d'oeil avant que le coffre-fort arrive.
text_quest11_slot02_titel;Entrer dans la Salle du trésor
text_quest11_slot02_content;La porte de la salle du trésor est verrouillé. Je dois trouver un moyen de l'ouvrir.
text_quest11_slot03_content;Le mécanisme de la porte est coincé. Je dois trouver au moins un moyen d'ouvrir une fissure.
text_quest11_slot04_content;Un bâton n'est pas suffisant pour soulever la porte.
hint_quest04_slot04;Peut-être qu'il y a un autre bâton dans les parages.
text_quest12_slot01_titel;Entrer dans le sous-sol
text_quest12_slot01_content;La vitrine avec l'oeil est tombé dans le trou suite à l'explosion. Je dois y aller et voir si la pierre est toujours là.
text_quest12_slot02_titel;Ouvrir la porte secrète
text_quest12_slot02_content;Je dois savoir ce qu'il y a derrière la porte secrète avant que les policiers arrivent et ouvrent les portes.
text_quest12_slot03_content;Qu'est-ce que l'inscription sur la porte secrète signifie ?
hint_quest03_slot03;Peut-être que le directeur du musée peut la traduire pour moi.
text_quest12_slot04_content;“Les Fils d'Horus”. Man, babouin, chacal et faucon.  
hint_quest04_slot04;Je peux probablement en apprendre plus sur les fils d'Horus dans le musée.
text_quest13_slot01_titel;Monter dans le train
text_quest13_slot01_content;Je dois prendre le train, mais y aller simplement n'est pas une option.
text_quest13_slot02_content;Je ne peux pas laisser quelqu'un me voir monter dans le train.
hint_quest13_slot02;Tant que le policier parle au médecin, je ne serai pas en mesure de passer inaperçu.
text_quest14_slot01_titel;Quitter le compartiment
text_quest14_slot01_content;J'ai besoin de sortir du compartiment inaperçu - mais je ne peux pas utiliser la porte tant qu'il y a des gens là-bas.
text_quest14_slot02_titel;Examiner le wagon de marchandises
text_quest14_slot02_content;La vue dans le wagons de marchandises est bloqué. Je dois trouver un moyen de jeter un oeil à l'intérieur.
hint_quest14_slot02;Un miroir pourrait être utile.
text_quest14_slot03_titel;Ouvrir la trappe sur le toit
text_quest14_slot03_content;La trappe sur le toit du wagon de marchandises est boulonné. J'ai besoin d'outils pour l'ouvrir.
text_quest14_slot04_content;L'écrou qui est tombé m'a presque trahi. J'ai besoin d'empêcher que cela se reproduise.
hint_quest14_slot04;Je peux peut-être tenir le second écrou pour qu'il ne tombe pas quand lorsque je dévisse le boulon.
text_quest15_slot01_titel;S'échapper de la malle
text_quest15_slot01_content;Je ne peux pas soulever le couvercle de la malle. Je dois sortir de là.
text_quest15_slot02_content;Je ne peux pas passer plus qu'un bras par la fente dans le couvercle, mais je peux peut-être atteindre quelque chose d'utile.
text_quest15_slot03_content;J'ai coupé la sangle, mais la malle est encore sur le plateau.
hint_quest15_slot03;Si le plateau ne bouge pas, je peux peut au moins déplacer la malle.
text_quest15_slot04_content;La sangle n'est pas ancrée sur le plateau, elle cogne sur d'autres objets
text_quest15_slot05_content;Il y a peut-être un moyen pour avoir un tuyaux.
hint_quest15_slot05;Je peux peut-être aller “pêcher”...
text_quest15_slot06_content;J'ai le tuyau, mais je suis toujours coincé dans la malle.

text_quest16a_slot01_titel;Entrer la cabine de la baronne
text_quest16a_slot01_content;J'ai besoin d'entrer dans la cabine de la baronne et d'ouvrir son compartiment secret.
text_quest16a_slot02_content;Je ne peux pas entrer par la porte. Le risque d'être pris est trop grand.
text_quest16a_slot03_content;Le conduit de ventilation serait idéal, mais il est boulonné.
hint_quest16a_slot03;Il y a peut-être des outils dans notre cabine.
text_quest16a_slot04_content;Je ne peux pas appliquer une force suffisante sur le pen pour le tourner à mains nues. J'ai besoin de plus de prise.
text_quest16a_slot05_content;Tant qu'il n'y a aucun moyen de repartir sans laisser d'indices derrière, je ne descendrais pas dans la cabine.
hint_quest16a_slot05;: J'ai besoin de quelque chose pour descendre.

text_quest16b_slot06_titel;Ouvrir la cachette secrète
text_quest16b_slot06_content;La cachette secrète doit être quelque part dans la cabine - mais où ?
text_quest16b_slot07content;Adil avait raison. J'ai besoin d'entrer une combinaison pour ouvrir le compartiment secret.
text_quest16b_slot08_content;Peut-être que les autres passagers savent quelque chose.
hint01_quest16b_slot08;Chaque indice peuvent m'aider pour une conversation avec les autres passagers.
hint02_quest16b_slot08;Adil pourrait également être en mesure d'aider.

text_quest17_slot01_titel;Quitter la cellule
text_quest17_slot01_content;Plus de victimes. Je dois sortir de cette cellule et avertir l'Offcier Zellner.
hint_quest17_slot01;Je peux peut-être atteindre quelque chose en dehors de la cellule qui m'aidera.
text_quest17_slot02_titel;Sortir de la soute
text_quest17_slot02_content;Les deux portes de la soute sont verrouillées. Il doit y avoir un autre moyen de sortir.
text_quest17_slot03_content;Je ne peux pas retirer la grille à mains nues. Peut-être qu'il y a un moyen de l'arracher.
hint_quest17_slot03;La grue peut être utile, mais je ne peux pas l'attacher directement aux barreaux.
text_quest18_slot01_titel;Trouver le docteur Gebhardt
text_quest18_slot01_content;Où est le docteur Gebhardt ? Je dois le trouver !
text_quest19_slot01_titel;Entrer dans le musée
text_quest19_slot01_content;J'ai besoin d'entrer dans le musée, afin d'obtenir les plans cachés de la salle du trésor.
text_quest19_slot02_content;Le gardien ne veut pas me laisser entrer dans le musée. Je dois le convaincre que j'y suis autorisé.
hint_quest19_slot02;Il semble qu'une partie du musée est en cours de rénovation. Je pourrais faire semblant d'être un artisan.
text_quest19_slot03_content;Mince, le nom sur les vêtements volés n'est pas sur la liste des artisans.
text_quest19_slot04_content;Je ne peux pas entrer par le toit pour le moment. Peut-être que je trouverai un moyen une fois que j'aurai les plans.
text_quest19_slot05_content;Il y a une note à côté du toit sur les plans. C'est peut-être ma chance d'entrer dans le musée.
hint01_quest19_slot05;Le même symbole apparaît sur les plans et la cheminée. Les numéros à côté d'elle ont aussi peut-être quelque chose à voir avec la cheminée.
hint02_quest19_slot05;Ils lisent de droite à gauche dans les pays arabophones.
text_quest20_slot01_titel;Lumière dans le sous-sol
text_quest20_slot01_content;Je vois presque rien dans l'obscurité de la cave. J'ai besoin de lumière.
text_quest20_slot02_content;Interrupteur, câble, prise... tout est prêt. J'ai juste besoin d'enlever la rouille des culots des ampoules.
hint_quest20_slot02;Je n'ai pas de papier de verre avec moi, mais je peux peut-être trouver une surface abrasive similaire pour faire le boulot.
text_quest20_slot03_titel;Ouvrir la fenêtre
text_quest20_slot03_content;J'ai besoin d'ouvrir la fenêtre, mais l'alarme se déclenche dès que les contacts électriques sont coupés.
hint_quest20_slot03;il y a peut-être un moyen de shunter le circuit ?
text_quest20_slot04_titel;Ouvrir la vitrine
text_quest20_slot04_content;Je suis dans la salle du trésor, mais il y a toujours le verre pare-balles de la vitrine entre l'oeil et moi.
hint_quest20_slot04;Je peux peut-être utiliser quelque chose pour briser la vitre.
index_note_start_01;Le retour du Corbeau ?
a00_common_01_diary;Ceci est le bloc-notes privé du Gendarme Anton Jakob Zellner. Si vous trouvez ce livre, veuillez l'envoyer directement au siège de la police de Zurich.
a00_common_02_museum;23 Sept. 1963 \n Un précieux rubis a été volé au British Museum à Londres. L'un des deux "Oeil du Sphinx" légendaires. La presse est dans tous ses états, comme on pourrait s'y attendre. Ils reprochent au "Nouveeau Corbeau" de salir la réputation de l'ancien. Ce dernier n'ayant jamais blessé quiconque au cours de ses exploits.
a00_common_03_task;24 Sept. 1963 \n Je l'ai fait ! Je me suis levé et j'ai dit au capitaine droit dans les yeux que je - je ! - voulais cette affectation. Il était trop choqué pour dire non. L'inspecteur Nicolas Legrand, ici, en Suisse ! C'est une opportunité que je ne peut tout simplement pas laisser passer. Mais qu'est-ce qu'il fait ici ?
a00_common_04_newspaper_a;London Post, 11 Sept. 1963 \n Legrand chasse “l'Hertier du Corbeau”! \n Selon les informations obtenues par le journal, Nicolas Legrand, 33 ans, de nationalité française et enquêteur spécial à Interpol, a repris l'affaire de "l'Héritier du Corbeau". Legrand est reconnu parmi ses collègues à travers l'Europe comme un enquêteur incisif et un fin limier. Il a d'abord démontré ses talents il y a cinq ans, lorsque le jeune policier a surpris le monde en attrapant le Corbeau, le criminel le plus recherché dans toute l'Europe. Une fusillade a éclaté alors qu'il tentait d'appréhender le voleur, entraînant la mort du cambrioleur.
a00_common_04_newspaper_b;Le Corbeau, il faut le dire, était très estimé par le public pour ses habiles vols audacieux. \n Un criminel imitateur nous tourmente depuis plusieurs mois maintenant - si l'imitateur laisse des plumes de corbeau sur les scènes de ses crimes, ses vols présentent aucun raffinement des tactiques du Corbeau original. Les trois derniers vols ont abouti à un total de cinq blessés dont un grièvement mais par la grâce de Dieu, aucun décès. \n Scotland Yard, Interpol et l'inspecteur Legrand n'ont pas pu être joint pour donner leur avis.
index_note_inspektor_01;L'inspecteur Nicolas Legrand
a00_inspektor_dialog_01;Legrand a l'air différent en vrai. Plus vieux, plus usé. C'est encore un grand enquêteur. Mais il y a des rumeurs que ses méthodes au cours des dernières années seraient devenus, dirons-nous, imprudente.
a05_inspektor_note_inWater_01;Il veut trouver le Corbeau à tout prix. Il est prêt à risquer sa carrière pour ça. Il ne pouvait simplement se reposer sur ses lauriers jusqu'à sa retraite. Pourtant, c'est la dernière chose qu'il a en considération. Il a besoin de faire ses preuves. Un adversaire vraiment impressionnant. Et un allié...
a05_inspektor_raven_back_01;Legrand estime qu'il pourrait avoir tiré sur le mauvais homme à Paris ! Il pense qu'il est possible que l'ancien Corbeau soit toujours en vie - et qu'il soit de retour !
a07_inspektor_writer_ta_inspektor_01;Lady Westmacott dit que Legrand a un regard étrange. J'ai remarqué aussi. Cette chasse au Corbeau - ce n'est pas seulement un travail pour lui. C'est quelque chose de plus...
a07_inspektor_drugs_01;J'ai surpris Legrand a s'injecter quelque chose. Une sorte de stimulant. Ça pourrait expliquer ses sautes d'humeur.
a10_inspektor_a10_start_01;Legrand semble convaincu que le Dr Gebhardt était le corbeau - et l'ancien aussi. Quelque chose ne colle pas pour moi - Legrand se laisse convaincre trop facilement...
a11_inspektor_not_ambassy_01;Legrand a dit qu'il irait à l'ambassade française. Mais l'Officier Oliver a dit que ce n'était pas le cas. L'un d'eux ment, c'est clair - mais pourquoi ?
index_note_legrands_trap_01;Le piège de Legrand
a00_legrands_trap_talkto_01;Legrand semble tendre un piège pour le nouveau Corbeau. Je devrais essayer d'en savoir plus sur ses projets...
a01_legrands_trap_wagon_01;L'inspecteur Legrand et l'officier Robert Oliver de Scotland Yard gardent un coffre-fort dans le wagon. Est-ce que le Corbeau tombera vraiment dans le panneau ? Et même, seront-ils assez de deux pour pouvoir l'attraper ? J'ai des doutes...
a02_legrands_trap_bomb_01;Une bombe ! Il y avait une bombe dans le coffre ! \n Il a faillit nous éparpiller façon puzzle ce maudit criminel ! \n Legrand se reproche de ne pas avoir vérifié le coffre. Mais je ne pense pas que ce soit le problème. Le Corbeau doit avoir posé la bombe dans le coffre avant qu'il ne soit placé dans le coffre-fort de la banque - un exploit incroyable ! Et la lettre - Comment a t-il réussi à placer la lettre sur le coffre-fort avec trois personnes se tenant à proximité ? \n Le but de l'attaque est assez clair, cependant. Le Corbeau voulait se débarrasser de Legrand afin de pouvoir voler le deuxième oeil tranquillement. Mais il a eu tout le contraire - Legrand ne va pas abandonner. C'est évident. Et moi aussi, j'ai une nouvelle raison de remettre ce criminel à la justice !
a05_legrands_trap_terrorist_01;L'officier Oliver m'accuse d'avoir poser la lettre. Il dit que seul lui, l'inspecteur Legrand et moi étions présents... Il marque un point là...
index_note_fiddler_01;Le violoniste
index_note_fiddler_02;Le violoniste (David Kreutzer)
a01_fiddler_whoishe_01;Il y a un homme avec un étui à violon assis dans le wagon-salon. \n Il déclare être soliste. Il semble usé pour ça. Sa main tremble. \n Il dit être en chemin pour Venise. Puis se rendra au Caire par navire pour donner un concert au Musée égyptien.
a01_fiddler_wallet_01;Il a profité de l'occasion et a empoché le sac. Il semble avoir des problèmes d'argent. On ajoute à ça sa moralité douteuse on obtient une combinaison dangereuse.
a01_fiddler_writer_ta_fiddler_01;Lady Westmacott considère Kreutzer être le genre d'homme à vivre aux crochets des autres.
a07_fiddler_pistol_01;Kreutzer prétend qu'il était ivre la nuit dernière et ne se rappelle plus ce qui s'est passé. L'arme lui appartient. Un Luger 08. Était-il vraiment saoul ? Ou jouait-il la comédie ? Et puis il y a la possibilité que quelqu'un essaie de tout lui mettre sur le dos. Cela expliquerait pourquoi ils n'ont pas jetés le Luger dans la mer - pour faire tomber la suspicion sur le violoniste.
index_note_indy_01;Professeur Edgar Lucien
a01_indy_first_talk_01;J'ai fait la connaissance du professeur Lucien du British Museum de Londres. Il affirme que le vol au musée l'a à peine affecté. Je ne le crois pas. Il semble plutôt nerveux.
a01_indy_baroness_ta_indy_01;La Baronne von Trebitz dit que le professeur Lucien est un égyptologue et également chef du département égyptien du musée. L'oeil volé du Sphinx était de son ressort. Il ne m'a rien dit de tout cela. Il m'a clairement menti. Qu'est-ce qu'il cache ?
a07_indy_forecastle_01;Le professeur Lucien semble éprouver quelque chose pour Mme Miller. Même ses nerfs semblent plus calmes... Ou ils l'étaient jusqu'à ce que je dise clairement qu'il y a peut-être encore un voleur et un meurtrier à bord. Il a alors rapidement pris son congé et est parti à sa cabine.
a10_indy_eye_01;Le bon professeur a pris possession de l'Oeil du Sphinx à Londres et l'a caché. Il avait peur que le coffre ne soit pas sûr. Courageux mais stupide. Si quelqu'un avait eu vent de ce qu'il avait fait, il aurait été trop facile pour lui d'obtenir le joyau. \n Mais ça expliquerait certainement pourquoi le professeur était tellement nerveux dans le train et sur ​​le bateau. Et je peux le rayer de ma liste de suspects. Il avait déjà volé le bijou - s'il voulait vraiment le garder, il ne l'aurait pas rendu.
index_note_closed_door_01;Le compartiment verrouillé
a01_closed_door_01;La porte du compartiment du professeur Lucien est verrouillée. De l'extérieur ? Ou de l'intérieur ? Et qui l'a verrouillée ?
a01_closed_door_open_window_01;Je pense que la porte était verrouillée de l'intérieur et que, peu importe qui c'était, il s'est échappé par la fenêtre. Si j'ai raison, alors il y a vraiment un voleur dans le train.
a01_closed_door_button_01;J'ai trouvé un bouton dans le compartiment. Ça pourrait être un indice. Ou ça pourrait n'être rien.
index_note_butler_01;James le majordome
a01_butler_first_talk_01;La Baronne von Trebitz et son majordome ont leur propre compartiment de luxe dans le train. À mon avis, cependant, il n'y a pas un compartiment dans n'importe quel train dans le monde assez grand pour être partager avec la baronne. Son majordome James doit avoir la patience d'un saint.
a01_butler_wound_01;James a subi une blessure au bras droit. Il dit que c'est une vieille blessure de guerre. On dirait que le bras n'est pas complètement remis, mais il ne peut pas beaucoup le bouger. Il fait du mieux qu'il peut.
a07_butler_staircase_talk_01;James s'inquiète des conséquences pour sa carrière si le meurtrier n'est pas arrêté. La mort de la baronne en lui-même ne semble pas beaucoup le préoccuper. Peut-être parce qu'il a seulement été à son service quelques mois.
index_note_missing_wallet_01;Sac disparu
a01_missing_wallet_first_01;Un sac à main disparu - pas exactement l'affaire du siècle. Et je ne peux pas imaginer que le Corbeau est quoi que ce soit à voir avec cela. Mais quand même, je suis officier de police et je devrais faire l'effort pour trouver ce sac à main.
a01_missing_wallet_found_01;Je soupçonne que le sac perdu de la baronne ne l'a pas été pour Kreutzer, le violoniste, qui lui le trouva. Ou est-il un pickpocket ? Quoi qu'il en soit, il a commis un crime.
a01_missing_wallet_checked_01;Je ne pouvais pas m'empêcher de jeter un coup d'oeil dans le sac. J'aurai pas dû c'est vrai. C'est le dure équilibre entre représentant de l'Etat et le respect de la vie d'autrui. En plus il n'a pas révélé de nouveaux indices.
index_note_baroness_01;La Baronne von Trebitz
a01_baroness_first_01;La baronne semble habitué à être le centre de toutes attentions. Une personne un peu mégalomane à mon avis. Mais aussi une généreuse philanthrope. Elle parcourt le monde, en soutenant les musées et les galeries. C'est elle qui finance l'exposition au Caire: la première fois depuis des siècles que les deux yeux du Sphinx seront exposés ensemble.
a07_baroness_dead_01;La Baronne von Trebitz a été assassinée. C'est terrible. Le premier cadavre que j'ai vu d'aussi près. Elle gisait dans une mare de son propre sang sur son lit. Même si je tiendrai le coup à mon âge, c'est un spectacle que je n'oublierai jamais.
a07_baroness_butler_talk_01;La Baronne était une alcoolique et diabétique. Pourtant, elle n'est jamais allé voir un médecin. C'est comme si elle avait une aversion pour les gens habillés en blanc. Elle était plutôt désorganisé selon son majordome et le désordre de photos dans sa cabine était son propre fait.
a07_baroness_diary_01;La Baronne a subi une grande perte. Elle a écrit des cauchemars dans son journal et elle transportait ce passé avec elle dans ses nombreuses photographies. Je soupçonne que sa famille a été tué pendant la guerre.
a07_baroness_why_01;Je ne connais pas le mobile du médecin, mais je soupçonne que c'est lié à leur passé commun.
index_note_writer_01;Lady Clarissa Westmacott
a01_writer_first_talk_01;Je l'adore ! Pour moi, elle est le plus grand auteur du siècle ! Et sûrement celle qui a le plus de succès.  \n C'est vraiment dommage qu'elle a cessé d'écrire. Je n'ai rien lu à ce sujet dans la presse. Les fans du monde entier seront en émoi quand ils le découvriront! \n Clarissa Westmacott's ces mystères les plus réussies: \n Les Petits Nègres \n Mort sur ​​les Rails \n Meurtre en Égypte \n Sous une Pleine Lune \n La Mystérieuse Affaire de Styles \n Le Presbytère dans le Miroir \n Maurice Partout quitte la scène\n Les Petits Nègres ce sont vendus à plus de 100 million, ce qui en fait le roman policier le plus vendu de tous les temps.
a07_writer_ta_boy_01;Lady Westmacott se soucie vraiment de Mme Miller et surtout de Matt. Elle connaît également une grande partie de leur vie. Je ne peux pas l'imaginer porter un tel intérêt pour l'ensemble de ses employés !
a10_writer_ta_boy_02;Lady Westmacott est la grand-mère de Matt ! Elle a un fils avec qui elle est brouillée. Il a épousé une jeune femme américaine et ils ont déménagé aux États-Unis. Elle avait donc un fils.  \n Ça explique pourquoi Lady Westmacott est si intéressé par Matt. Peut-être qu'elle veut se rattraper pour ce qui c'est passé avec son fils.
index_note_caretaker_boy_01;Mary Miller et Matt Miller
a01_caretaker_boy_woodpistol_01;Mme Miller m'a été présentée en tant que "accompagnatrice" de Lady Westmacott. Je pense qu'elle est vraiment plus que ça. Elle semble plutôt tendue. Nerveuse et un peu perturbée. Peut-être est-ce en relation avec son fils, Matt ? \n J'aime bien Matt. C'est un garçon curieux et plein d'énergie. Mais il semble que de sa mère le laisse faire ce qu'il veut.
a01_caretaker_boy_father_01;Mme Miller et le père de Matt semblent être séparés. On dirait que son fils le lui reproche. Lady Westmacott semble vraiment aimer Matt. Elle lui paie de bonnes écoles.
a03_caretaker_boy_why_train_01;Il n'a pas pu se contrôler et il s'est glissé dans le train pour reprendre son pistolet en bois. C'était dangereux, courageux et aventureux... J'aimerai bien faire équipe avec lui, mais c'est pas possible.
