loca_key_foo;Value is Bar
a07_caretaker_boy_romance_01;On dirait qu'une romance est en train de naitre entre Mme Miller et le Professeur Lucien - et Matt ne semble pas très content. Peut-être ne veut-il pas partager sa mère... Ou peut-être qu'il veut la protéger.
a10_caretaker_boy_romance_02;Professeur Lucien accompagnera Mme Miller pendant la croisière sur le Nil. On ne peut jamais en être sûr mais je crois que ces deux là ont une chance...
a10_caretaker_boy_romance_03;La romance entre Mme Miller et le Professeur Lucien a pris fin avant qu'elle ne commence. Qui sait, peut-être que c'est pour le mieux...
index_note_doctor_01;Le Docteur Gebhardt
a01_doctor_first_talk_01;J'ai déjà parlé au docteur Gebhardt à Zurich. C'est un médecin allemand. Il planifie de finir sa carrière en Italie. Je ne peux pas dire que je l'ai trouvé particulièrement sympathique. Il est poli et courtois, mais je ne pense pas que sa gentillesse est vrai. Quelque chose cloche.
a05_doctor_talk_pier_01;Le docteur Gebhardt semble avoir de grands espoirs pour son nouveau travail - pour sa nouvelle vie. Il m'a conseillé d'y aller mollo. Si je prends soin de moi, mon coeur tiendra pendant encore quelques années. Mais serait-ce une bonne manière de passer mes dernières années ?
a07_doctor_blood_01;La couverture dans la cabine de la baronne a été imbibé de faux sang. Pourquoi le docteur Gebhardt ne l'a pas remarqué ? Et où est la couverture maintenant ?
a09_doctor_murder_01;C'était le docteur Gebhardt ! Il a tué la baronne - et il voulait me faire la même chose. Il m'a drogué, j'ai sauvé de justesse ma vie. Il a dit que je voulais le mettre en cause, que j'avais fabriqué des preuves et m'a demandé pourquoi je ne pouvais pas le laisser tranquille. Je pense qu'il est fou.
a10_doctor_missing_01;Il n'y a aucune trace du docteur Gebhardt. Peut-être qu'il a sauté par dessus bord, comme il l'a écrit dans sa lettre de suicide. Mais peut-être qu'il est toujours vivant ...
index_note_constable_01;Officier Robert Oliver
a01_constable_first_01;Il semble être un honnête homme, mais pas un malin. Il adore Legrand, c'est clair. Il est fier de travailler au côté du grand détective. Pour être honnête, je ressentirais la même chose à sa place.
a01_constable_read_01;L'Officier Oliver était au British Museum la nuit du vol ! Plus curieux... Il était juste à un jet de pierre du Corbeau quand il a volé le premier Oeil. Et maintenant, il est censé garder l'autre ?
a07_constable_first_dialog_01;Il ne semble pas très heureux que je sois à bord. Je pense qu'il est jaloux. Il veut être le bras droit de Legrand. C'est pas comme si je surveillais son travail. Je préfère de mener que suivre.
a10_constable_guard_01;J'ai surpris l'Officier Oliver debout devant ​​un garde inconscient dans la salle des gardes. Je ne sais pas s'il l'a assommé ou non. Mais n'est-il pas étrange que chaque fois que les frappes du Corbeau ont lieu, l'Officier Oliver est dans le coin ?
index_note_dark_figure_01;L'ombre dans le train
a05_dark_figure_train_01;Matt a vu une ombre dans le train. Ce pourrait-il que ce soit le nouveau Corbeau ? Quelqu'un doit avoir mis la lettre sur le coffre, c'est clair. Le corbeau payait des complices les derniers temps. Peut-être que le nouveau Corbeau fait la même chose ? \n L'ombre a perdu un billet pour une croisière en Méditerranée. Sa destination finale: Le Caire. Je crois que je sais quoi d'autre sera à bord.
a06_dark_figure_talk_constable_01;Une autre ombre ! L'Officier Oliver l'a repéré cette fois. Serait-ce la même personne ?
index_note_three_keys_01;Les trois clés
a05_three_keys_talk_safe_01;Selon Legrand, le coffre-fort qui transporte l'Oeil du Sphinx au Caire est sécurisé par trois serrures. Le professeur Lucien, la baronne von Trebitz et le Dr Mokhtar, le directeur du Musée égyptien du Caire, en ont chacun une. \n Nous devons supposer que le Corbeau a déjà réussi à faire une empreinte de la clé du professeur dans le train. Il peut également avoir déjà copié la clé de l'administrateur. Reste la clé de la baronne von Trebitz...
a07_three_keys_third_01;Legrand a dupé tout le monde ! Il a pris la troisième clé de la baronne. Soi-disant parce qu'il était inquiet à propos de son désordre. Peu importe, la troisième clé n'a jamais été vraiment en danger. Mais la baronne est morte maintenant et Legrand doit se demander s'il est à blâmer. Il nous a tous conduits a croire qu'elle avait la troisième clé.
a10_three_keys_legrand_01;Les trois clés étaient inutiles. Le coffre-fort était vide. Le professeur Lucien a réussi à détourner l'Oeil du Sphinx à la banque et a seulement fait semblant de le placer dans le coffre-fort.
index_note_old_raven_01;Vieux Corbeau / Nouveau Corbeau
a05_old_raven_tw_investigator_01;L'inspecteur Legrand nourrit l'idée qu'il avait tiré le mauvais homme, il y a cinq ans. Si c'est vrai, alors le Corbeau peut être de retour après tout. Les preuves de Legrand: la plume de corbeau, l'écriture de la lettre et le fait que l'auteur s'est adressé à lui en écrivant "Nico", une chose que le vieux Corbeau faisait.
a05_old_raven_tw_investigator_02;Mais est-ce que ces preuves sont suffisantes ? Pas pour moi. Tout le monde sait que le Corbeau utilisait des plumes de corbeau comme signature. L'écriture peut être falsifiée. Et toute personne impliquée dans l'affaire à l'époque pouvait connaitre - et révéler - que le Corbeau taquinait Legrand en l'appelant Nico. \n Le modus operandi ne correspond pas ! Le vieux Corbeau faisait toujours attention à ce que personne ne soit blessé lors de ses braquages​​. Le nouveau Corbeau a tenté de tous nous faire exploser. Je pense que Legrand, tout fin limier qu'il est, aboie au mauvaise endroit.
a05_old_raven_doctor_confession_01;La confession du docteur m'a donné matière à réflexion. Mon sentiment est qu'il n'est pas responsable de tout. Mais je n'ai aucune preuve pour appuyer cela. \n La lettre est également intéressante pour une autre raison. Elle prouve que celui qui est vraiment derrière tout cela était présent à la mort présumée du Corbeau il y a cinq ans. L'ancien Corbeau serait-il sorti de sa tombe comme le prétendent les journaux ?
a10_old_raven_article_01;Editorial \n Les avancées spectaculaires dans l'affaire des deux "Oeil du Sphinx" (voir la une ainsi que les pages 3, 5 et 9) montre simplement: qu'un criminel, reste toujours un criminel. Comme beaucoup, ce journal inclus, avont minimisé la gravité de certains des crimes commis par le Corbeau au cours de sa carrière, préférant les voir comme des jeux intelligents et des exploits audacieux. Pour certains, il était une sorte de héros, menant la police par le bout du nez pour notre plus grand plaisir. \n Et pourtant, maintenant, nous devons reconnaitre avoir tous applaudi un meurtrier. Un homme qui mets en péril des vies avec des bombes et qui a tué au moins une fois. \n Les criminels sont et restent des criminels. En tant que société ne pouvons pas nous permettre de l'oublier. \n Rupert Turner, Rédacteur en chef
index_note_captain_01;Capitaine di Conti
a05_captain_tw_doctor_01;Selon le docteur Gebhardt, le capitaine du Lydia est un ancien héros de guerre. Mais il est en mauvaise santé ces derniers temps. Apparemment, il a été relégué de force à ce poste.
a07_captain_ship_01;Le navire ne semble pas être bien entretenu. Utilisé pour être un cargo, reconverti en transport de troupes pendant la guerre, et réaménagé à nouveau comme navire de croisière. Son âge se voit. Mais ce n'est pas tout. Je n'ai pas l'impression que le Capitaine DiConti a vraiment ses hommes sous contrôle. Ils semblent ne faire que le strict minimum.
index_note_stowaway_01;Le passager clandestin
a06_stowaway_start_01;Un passager clandestin a réussi a se dissimuler dans une malle de vêtements à bord du Lydia, puis m'a frappé. Mais qui est-il ? Le Corbeau ? L'un des complices du corbeau ? Ou quelqu'un d'autre ?
a07_stowaway_captured_01;Notre passager clandestin est un jeune homme d'origine arabe. L'Officier Oliver l'a repéré sur le pont supérieur et Legrand l'a placé en garde là-bas. Il affirme qu'il voulait juste un peu d'air frais. Je ne le crois pas. Je pense que c'est bien lui que je dois remercier pour la bosse sur ma tête. \n Ce que nous savons, c'est que la baronne von Trebitz a été abattu alors que nous étions occupés avec le passager clandestin. Est-ce que le passager clandestin travaille avec le meurtrier ? Est-ce qu'il était là pour nous distraire ?
a07_stowaway_dialog_01;Le passager clandestin dit que son nom est Adil. Et bien sûr, il ne m'a pas attaqué parce qu'il ne pourrait même pas faire mal à une mouche. Il ment bien sûr. Mais est-ce qu'il mentait parce qu'il veut juste rentrer chez lui comme il le prétend ? Ou a t-il créé une diversion à la demande de l'assassin ?
index_note_shot_01;Coup de feu dans la soute
a06_shot_start_01;Quelqu'un a tiré avec une arme à feu dans la soute ! Qui a tiré, qui ils visaient, et pourquoi: toutes des questions auxquelles je ne peux pas répondre.
a07_shot_found_projectile_01;Qui que ce soit, ils ont tiré sur une caisse. Donc, la balle n'était pas pour moi. Et la balle est toujours coincé dans le bois.
a07_shot_compared_01;La balle dans la soute a été tirée par la même arme qui a tuée la baronne !
a08_shot_tape_01;Quelqu'un a enregistré le coup de feu sur une cassette audio ! Il n'a jamais été question de toucher une cible - c'était pour enregistrer le "bang" !
index_note_murder_baroness_01;Le meurtre de la Baronne von Trebitz
a07_murder_baroness_first_01;La baronne a été assassinée alors que Legrand, l'Officier Oliver et le docteur Gebhardt cherchaient l'ombre que Oviler a repéré. Nous avons entendu le coup de feu et quelques instants plus tard, nous étions à la cabine de la baronne. La porte était fermée de l'intérieur et la baronne était morte. Elle était allongée sur son lit dans une mare de sang. Le docteur Gebhardt a prononcé sa mort, mais il ne pouvait rien dire de plus sur les circonstances.
a07_murder_baroness_talk_doctor_01;Selon le docteur Gebhardt, la baronne a été abattu en plein coeur de très près. Un seul coup de feu. Elle est morte instantanément.
a07_murder_baroness_anasthetic_01;La baronne était-elle drogué avant d'être assassinée ? Elle semblait très chancelante et somnolente lorsque nous l'avons rencontrée dans l'escalier.
a09_murder_baroness_motiv_01;Le docteur Gebhardt a tiré sur la baronne von Trebitz. Je ne connais toujours pas ses motivations. Si je devais faire des supputations, je dirais que ça avait quelque chose à voir avec la guerre et avec la famille défunte de la baronne.
index_note_backout_01;Inconscience
a07_blackout_first_01;Je me suis évanouis la nuit dernière. Quand j'ai quitté le salon avec les autres, je ne me sentais pas si bien que ça... et ça n'a fait qu'empirer ensuite. Je me suis finalement effondré sur le pont promenade, au moment ou l'alarme incendie s'est déclenchée.
a07_blackout_anastethic_law_01;Il y avait un tranquillisant dans le champagne que j'ai bu hier soir dans le salon. C'est ce qui explique ma somnolence et l'évanouissement. La Baronne von Trebitz a t-elle été également droguée ? Elle tenait bien debout quand nous sommes tombés l'un sur l'autre hors de sa cabine.
a07_blackout_anasthetic_captain_01;Selon le capitaine, plusieurs personnes ont bu dans la même bouteille. Le sédatif doit avoir été dans le verre et non dans la bouteille. Le Capitaine DiConti dit qu'il m'a donné le verre du docteur Gebhardt. Peut-être que la véritable cible n'était pas moi, mais plutôt le médecin ?
index_note_traces_01;Indices et des preuves
a07_traces_pistol_01;Legrand et le policier ont trouvé l'arme de l'assassin sur la coursive de la coque. Peut-être que le meurtrier a voulu se débarrasser d'elle sans se faire prendre et a eu la malchance de ne pas assez bien connaitre le navire. Mais il y a quelque chose qui me semble étrange. Si j'étais un meurtrier et que je voulais faire disparaître une preuve importante, je ferais sacrément attention qu'elle disparaisse vraiment .
a07_traces_projectil_doctor_01;La balle que le docteur Gebhardt a retiré du coeur de la baronne est une 7,65 mm Parabellum d'un pistolet Luger.
a07_traces_pillow_01;J'ai trouvé un oreiller brûlé dans la cabine de la baronne. On dirait qu'il a été utilisé pour étouffer le bruit d'un coup de feu. Puis le tireur le fourra dans un vase parce qu'il ne voulait pas se faire prendre avec. \n Le truc étrange est: nous avons tous entendu le coup de feu !
a07_traces_projectiles_01;L'arme de l'assassinat est le Luger 08 de David Kreutzer. Les deux balles, celle retirée du cadavre de la baronne et celle de la soute, provenaient de l'arme du violoniste.
a07_traces_light_blood_01;J'ai pris remarqué quelque chose de particulier concernant le sang sur le lit de la baronne. Quelque chose ne va pas. Il est tellement... rouge. Après tant de temps exposés à l'air, il devrait être brun...
a07_traces_blood_checked_01;Ce n'est pas du tout du sang t! Je l'ai testé et ce n'est pas du sang ! C'est une sorte de liquide rouge qui ressemble à du sang frais - mais pas comme à du sang de 12 heures. Pourquoi le docteur Gebhardt n'a rien dit ? Il devait avoir remarqué que quelque chose n'allait pas !
a07_traces_tape_01;J'ai trouvé une cassette audio dans l'infirmerie. Il y a un enregistrement d'une arme à feu dessus ! Je parie que c'est le coup nous avons tous entendu la nuit dernière.
index_note_museum_01;Musée
a10_museum_first_01;Le musée est fermé au public aujourd'hui. Et uniquement les invités seront autorisés à assister au gala de ce soir. Je pense que c'est à ce moment que le Corbeau va frapper - en supposant que j'ai raison et qu'il est toujours en liberté.
a10_museum_treasury_01;L'oeil du Sphinx est installé dans une vitrine pare-balles. Tout est sécurisé par voie électronique. Le système de sécurité du musée est fait dans les règles de l'art.
a10_museum_telephone_01;Les lignes téléphoniques sont coupées. Nous ne pouvons pas appeler de renfort.
index_note_director_01;Le Directeur du Musée
a10_director_museum_first_01;Le Directeur Mokhtar semble croire que Legrand a attrapé le docteur Gebhardt. Quelqu'un a averti les journaux et mélangé certains détails clés.
a10_director_after_legrand_01;Le Dr. Mokhtar a sans doute senti qu'il avait mieux à faire que de donner à un humble flic comme moi une visite de son musée. Je crois qu'il préfère les personnes influentes. Les gens riches et célèbres - c'est plus son truc.
a10_director_after_explosion_01;Je pense que le Dr. Mokhtar est en état de choc. Rien d'étonnant: la salle du trésor de son musée a été soufflée en mille morceaux, après tout. Je vais lui donner une chance de se reprendre.
a11_director_talk_basement_01;Le Dr. Mokhtar maintient qu'il ne sait rien à propos de sous-sols et de passages secrets. Cela peut très bien être vrai, mais quelqu'un doit vérifier depuis combien de temps il est ici. S'il travaillait ici il y a vingt ans, durant la guerre, alors ses allégations sont suspectes.
index_note_escape_raven_01;L'échappatoire du Corbeau
a10_escape_raven_after_explosion_01;Il y a eu une explosion ! Le système de sécurité a verrouillé le musée et la salle du trésor immédiatement. Je ne sais pas ce qui s'est passé là-bas, mais je crains que mon adversaire va plutôt travailler avec une tronçonneuse qu'avec un scalpel pour le moment. \n Nous sommes pris au piège dans le musée. Et avec le Corbeau, à moins qu'il ait un autre moyen de sortir - ce que je soupçonne. Je dois le suivre !
a11_escape_raven_treasury_01;Certaines parties de la salle du trésor ont été détruites. Il y a moins de dégâts que je craignais, mais quelques oeuvres sont perdues à jamais. Le Corbeau n'a pas eu la possibilité de sortir de la salle du trésor, alors il s'est fait une issue. Il y a un trou béant où l'Oeil du Sphinx et sa vitrine se trouvait autrefois.
a11_escape_raven_secretdoor_01;Il y a un sous-sol secret, en dessous de la salle du trésor. De là, une porte cachée conduit à la salle principale. Le sous-sol a été construit depuis le musée existe. La porte secrète peut avoir été ajouté plus tard, au cours de la Seconde Guerre mondiale. Cela expliquerait la statue maudite dont Matt a entendu parler. Quelqu'un était ici dans ce sous-sol, à la préparation probablement des explosifs, pendant que je parlais à Lady Westmacott.
a11_escape_raven_secretdoor_02;Il y a une autre porte secrète dans le sous-sol. Le Corbeau doit l'avoir utilisé ! Malheureusement, elle est verrouillée. Il y a des disques rotatifs avec divers symboles d'animaux. Il y a aussi quelque chose d'écrit en arabe:
a11_escape_raven_after_explosion_04;Selon le Dr Mokhtar, ça dit: “Les Fils d'Horus”. Chacun des quatre fils a un symbole: un homme, un babouin, un chacal et un faucon. Ils décorent des navires funéraire - les fameux vases canopes.
index_note_start_2_01;Quelques notes
a12_start_2_inch_01;Il a fallu un certain temps, mais Inch m'a finalement embauché. Je suis censé faire le sale boulot pour lui. Qu'il en soit ainsi. Je serai avec lui et c'est ce qui compte. Tôt ou tard, il aura le gros lot !
a12_start_2_eyes_01;Les Yeux du Sphinx ! Pas un mauvais choix. Ce sont deux des joyaux les plus précieux du monde et certainement digne du Corbeau. Je suis censé voler le premier joyau au British Museum. Inch s'est assuré que les alarmes dans une partie du musée seront éteints. Il a de bons contacts.
a12_start_2_plan_01;Le plan pour moi, était d'interchanger l'Oeil du Sphinx avec un faux sans que personne ne s'en aperçoive. "Malheureusement", un gardien et un policier me sont tombé dessus avant que j'ai eu le temps de mettre en place le faux. Tout se passait comme prévu... Si on passe sur le fait que Inch a déclenché une bombe pour éliminer les gardiens. J'aurais pu m'échapper, sans feux d'artifice et sans risquer la vie de quiconque.
index_note_inch_01;Inch
a12_inch_start_01;Me rapprocher de Inch n'a été pas une sinécure. Il a beaucoup d'assistants, et il se tient en arrière. C'est ce qui le rend si difficile à attraper - il ne met jamais ses mains dans le cambouis. Il laisse les autres faire le travail. Les gens comme moi. \n Une chance pour moi qu'il a besoin de quelqu'un pour remplacer son bras blessé. Sinon, je n'aurais jamais été si proche de lui.
a12_inch_talk_station_01;Inch n'a toujours pas vraiment confiance en moi. Ça n'a pas d'importance. Je suis là où je veux être. Et tant que Inch me prend pour un passionné mais pas pour un voleur, tout ira bien.
a14_inch_bomb_01;Une bombe ! Il a déclenché une satanée bombe pour se débarrasser de Legrand et des autres. Je ne pensais pas qu'il ferait ça. Il est moins scrupuleux que je le pensais. Une raison de plus pour le mettre hors course dès que possible. \n Devrais-je donner à la police un tuyau et mettre fin à tout ça de cette façon ? Je le ferais si je pensais que ça pouvait vraiment m'aider. Mais Inch doit être pris en flagrant délit ou bien il s'en sortira indemne.
a17_inch_talk_cell_01;J'ai un très mauvais pressentiment. Il semble que Inch en sait plus qu'il ne devrait. A t-il découvert quelque chose sur ​​moi ? Sur Alex ? Notre plan ? \n Alex n'aimerait pas ça, mais je ne peux pas m'empêcher de m'inquiéter à son sujet.
a19_inch_start_01;Alex n'aimerait pas ça, mais je ne peux pas m'empêcher de m'inquiéter à son sujet.
index_note_inchs_plan_01;Le Plan de Inch
a12_inchs_plan_talk_station_01;Nous voulions voler le premier Oeil à Londres sans que personne ne s'en aperçoive. Ce n'est qu'après que le deuxième Oeil eût été volé au Caire qu'ils se seraient pencher de plus près sur le premier oeil pour remarquer qu'il s'agissait d'un faux. Je n'avais jamais prévu de laisser le faux - mais Inch n'a pas suivi son plan non plus. Il n'a jamais mentionné la bombe dans une poubelle. \n Et maintenant cette affaire avec la lettre - Je n'ai aucune idée de quoi il s'agit. Quelle partie du plan a t-il changé maintenant ?
a14_inchs_plan_talk_pier_01;Inch ne m'a toujours pas laissé participer à ses plans - et il semble qu'il ne compte pas le faire. Je m'y attendais, mais je n'aime pas ça.
a19_inchs_plan_start_01;Le meurtre du Docteur Gebhardt est impardonnable, peu importe qu'il était coupable. Je devais le remettre à Inch: il a écrit la confession et a ensuite informé la presse. La nouvelle que le vrai Corbeau avait été pris doit avoir fait des vagues à Paris. Legrand sera occupé toute la journée avec son gouvernement, les autorités égyptiennes et la presse. Et Inch pense qu'il a sorti son adversaire le plus dangereux hors de l'équation.
a20_inchs_plan_left_ravennest_01;Le plan de Inch pourrait marcher. Je vais voler les yeux et la porte de la chambre du trésor gardera les gardes à distance jusqu'à ce que je retourne sur le toit. Tout le monde va penser que je me suis enfui en utilisant l'échelle incendie, alors que je vais utiliser la porte secrète pour entrer dans le musée et attendre jusqu'à ce que les choses se calment. \n Mais rien de tout ça compte vraiment. Inch a d'autres plans. Et nous aussi !
index_note_my_part_01;Mon rôle
a13_my_part_talk_doctor_01;Un bon voleur est celui qui peut se fondre dans une foule, un que vous ne remarquez pas. En ce sens, je ne suis pas prédestiné à être un voleur: Je suis visible, du moins dans ces régions. C'est seulement les préjugés des gens qui me protègent. Ils attendent de moi que j'arrache un sac à main mais personne ne me prendrait pour un maître voleur.
a17_my_part_first_01;Le pauvre et naïf travailleur arabe: un de mes personnages les plus réussis. Je suis espagnol et je ne parle pas arabe, mais personne ne l'a remarqué pour le moment. Les gens regardent à travers vous comme si vous n'apparteniez pas à leur classe ou à leur race. Plutôt qu'une personne, vous êtes une partie d'un groupe, d'une foule - et il est facile de se fondre dans une foule.
index_note_alex_01;Alex
a15_alex_end15_01;“Elle est la meilleure chose qui me soit jamais arrivé.” Je n'ai jamais compris cette expression jusqu'à ce qu'Alex apparaisse. C'est un... sentiment étrange. Vous avez tout à coup le sentiment que quelqu'un d'autre est tout aussi importante, sinon plus importante, que votre propre vie. Soudain, vous ne pensez pas, "ce que je veux", mais plutôt "ce qu'elle veut". Ou mieux encore, "ce que nous voulons". \n Nous nous sommes rencontré dans le sud de la France. La fille riche de bonne famille et le garçon arabe de l'hôtel. Aucun de nous était ce que nous semblions être, et nous nous sommes remarqué assez tôt. Qui se ressemble s'assemble. \n “Patricia Mayers” était le rôle qu'elle jouait alors. Je pense qu'elle aime bien Patricia. Alex est très intelligent et Patricia Mayers est une partie de cette intelligence.
index_note_adil_01;Adil
a16_adil_start_01;Ce que j'aime chez lui, c'est pas sa beauté. Et ce n'est pas qu'il soit un voleur habile, qu'il soit intelligent ou qu'il m'aime. C'est son caractère. Il a de nombreuses raisons d'être cynique ou amer, mais il ne l'est pas. Il profite de la vie. Il voit le positif chez tout le monde et dans toutes les situations. Il est humble et peut trouver de la joie dans de petites choses. \n Je n'ai jamais pensé a faire des enfants jusqu'à notre rencontre. Il serait un père fantastique. Il enseignerait à nos enfants la façon d'avoir une vision positive de la vie. Ne pas laisser les circonstances les broyer. Il leur donnerait tout ce dont ils ont besoin pour vivre une vie satisfaisante.
index_note_plan_01;Le Plan
a16_plan_talk_about_01;Notre plan est simple: à Londres, je vais interchanger l'oeil volé du Sphinx pour un faux. Inch pourra jeter un coup d'oeil à la pierre, mais il n'aura pas l'occasion de l'expertiser soigneusement et nous espérons qu'il ne remarquera pas quelque chose qui cloche. Nous irons prendre le second joyau du Caire. Inch pensera qu'il a tout sous contrôle... Et avant qu'il ne comprenne, nous serons partis depuis longtemps.
a16_plan_corps_seen_01;Cela ne faisait pas partie du plan ! Absolument pas. Qui a tué la baronne ? Inch ? Mais pourquoi ? C'est pas bon. Pas bon du tout.
a16_plan_arab_arrested_01;Adil s'est fait attraper. C'est une situation dangereuse. S'ils ne trouvent pas le meurtrier, ils pourraient essayer de tout lui mettre sur le dos. Et même si ils ne le font pas, ça pourrait prendre des jours avant qu'il soit relâché !
a19_plan_start_01;L'assassinat de la Baronne von Trebitz était une diversion indésirable. Mais j'ai le sentiment que le plan est de nouveau sur la bonne voie. Inch pense qu'il a tout sous contrôle. Sa fin est proche.
a20_plan_left_ravensnest_01;Rien ne lui arrivera. Rien ne peut lui arriver ! Je déteste ne pas pouvoir être avec elle. Elle peut prendre soin d'elle, je le sais. Mais Alex, seul avec ce dingue ? Il ne faut pas que j'y pense. Je dois me concentrer sur mon travail.
index_note_mayers_01;Patricia Mayers
a16_mayers_talk_arab_plan_01;Patricia Mayers est un de mes personnages préférés. Une jolie fille de bonne famille... Personne ne s'attend - ou suspects - rien d'elle. Il y a un seul problème... Les gens qui pensent que Patricia est idiote, même s'ils ne la connaissent pas. Une blonde gâté idiote qui donne toujours des répliques intelligentes - c'est pas la meilleure couverture. Je dois y travailler.
a16_mayers_talk_fiddler_01;C'est incroyable. Patricia attire vraiment les confidences des gens. Je ne sais pas pourquoi. Peut-être parce qu'ils la pensent inoffensive... Peut-être qu'ils veulent la choquer. Mais maintes et maintes fois: les gens me vident ce qu'ils ont sur le coeur quand je joue Patricia. Ça ne se produit pas aussi souvent quand je suis Alex. Là, les gens me traitent avec plus... de respect ? D'attention ?
index_note_doctor_baroness_01;Le docteur et la baronne
a17_doctor_baroness_dialog_butler_01;Le docteur Gebhardt a t-il assassiné la baronne von Trebitz ? Qu'est-ce qu'ils avaient à voir ensemble ? Le médecin était tout sauf sympathique - tout comme la baronne... Mais à moins que leur rencontre soit dû à une réunion des antipathiques anonymes, je ne sais pas comment ces deux là ont bien pu se connaitre.
a18_doctor_baroness_story_01;Une histoire terrible. Un homme dont l'amour n'est pas partagé et qui rejette toute morale pour se venger. La baronne devait être absente de l'université à l'époque. C'est ce qui l'a empêchée d'être assassiné avec le reste de sa famille. Selon les photos, elle semble avoir connu Gebhardt... L'ami de la famille, leur sauveur, qui avait des vues sur la plus jeune soeur de la baronne. Elle l'a vu monter à bord du navire à Venise. Peut-être qu'elle n'était pas certaine que c'était vraiment vrai, ou peut-être qu'elle voulait avoir des preuves. Elle a cherché une photo, l'a trouvée et ensuite a voulu la montrer au docteur lors de la réception dans le salon. Malheureusement, le docteur lui l'avait bien reconnu et il se rendit immédiatement compte qu'elle pourrait détruire la vie nouvelle qu'il s'était construit après la guerre.
a18_doctor_baroness_doctor_dead_01;Tôt ou tard, les gens vont découvrir que le docteur Gebhardt ne pouvait pas être le Corbeau. Il va se révéler qu'il aura forcement un alibi pour l'un des vols. Mais ça pourrait prendre des jours, voire des semaines jusqu'à ce que cela arrive. Les vols ont eu lieu dans plusieurs pays il y a quinze ans. \n Peut-être qu'ils trouveront son corps, mais j'en doute. Le docteur Gebhardt - et peu importe qui il était avant - est mort.
index_museum_geheimtuer;Les Fils d'Horus
a11_soehne_des_horus;Hapi-Nord\n Kebechsenuef - Ouest\n Duamutef - Est\n Amset - Sud
a11_sdh_hapi;Hapi - Babouin
a11_sdh_amset;Amset - Humain
a11_sdh_duamutef;Duamutef - Chacal
a11_sdh_kebechsenuef;Kebechsenuef - Faucon
text_quest_default;Qui est le Corbeau ?
text_quest_default_content;Cherchez des indices et dévoilez l'identité du Corbeau.




























